unit_id,region,capacity_index,baseline_gross_margin,baseline_stockout_rate,treatment,post_gross_margin,post_stockout_rate
DC-0357,north,94.36182,12395.85669,0.07143045,1,13703.037633,0.04149549
DC-0358,south,124.960185,11208.801682,0.05334967,0,11152.519584,0.057316
DC-0359,west,130.171754,13507.378554,0.06982161,0,13730.746943,0.06797719
DC-0360,east,105.545135,11649.6837,0.05955003,1,14040.996778,0.04136915
DC-0361,east,88.240327,12228.573182,0.08149676,1,13683.321672,0.06093556
DC-0362,west,85.060632,11275.392019,0.10709703,0,12873.730074,0.08676827
DC-0363,south,102.587054,12961.463083,0.07865659,1,14588.582965,0.0457041
DC-0364,south,78.847301,12498.985403,0.06689537,1,13286.138347,0.03671828
DC-0365,north,117.546514,14034.046037,0.06962773,0,13924.103482,0.07728343
DC-0366,west,90.990873,10921.926176,0.12737684,0,10999.424226,0.09392537
DC-0367,west,101.208189,13770.777332,0.06405297,1,14803.007544,0.04216597
DC-0368,south,108.994997,13323.279412,0.05056099,1,14694.022263,0.04502945
DC-0369,north,113.128954,13352.133846,0.06166684,1,13640.571776,0.03901659
DC-0370,west,116.866804,11368.359356,0.05452679,0,11728.640867,0.06027622
DC-0371,south,93.301211,11312.976004,0.08669661,1,12471.445083,0.05470072
DC-0372,south,110.921291,13928.155851,0.07658999,0,13253.705066,0.06963108
DC-0373,east,98.066998,12440.108441,0.07716205,1,13655.208917,0.04479429
DC-0374,south,93.82685,13503.739856,0.07196924,1,14041.712389,0.04376368
DC-0375,east,78.025178,11996.235201,0.08611875,0,12497.386379,0.06920497
DC-0376,east,76.997249,12632.624406,0.09539011,1,13852.787632,0.05387279
DC-0377,south,67.709302,13588.314629,0.08506084,0,11967.951464,0.06722006
DC-0378,south,92.780622,13589.074623,0.08105361,1,13851.329139,0.0621273
DC-0379,south,98.614273,12917.031283,0.066217,1,13424.128769,0.03688932
DC-0380,south,108.923695,13937.488801,0.05835124,1,14860.020751,0.04235014
DC-0381,west,71.592228,11333.275335,0.09354681,1,12043.547606,0.06127203
DC-0382,south,89.434656,13328.800467,0.07125006,0,14025.476058,0.06267186
DC-0383,west,91.536088,11668.788986,0.0971086,0,11876.71659,0.07718272
DC-0384,south,111.900141,14802.64168,0.06561435,1,15081.016097,0.03399448
DC-0385,west,130.384127,14490.064635,0.0732363,0,14638.930051,0.08557573
DC-0386,east,103.898801,12273.924626,0.07361529,1,12117.45487,0.04766398
DC-0387,east,104.51928,12304.476384,0.07340279,0,11653.767913,0.0486818
DC-0388,west,143.038917,15317.051967,0.06193513,1,13772.283542,0.03578499
DC-0389,east,78.268861,10931.84191,0.07628268,1,11531.455837,0.0456062
DC-0390,west,83.113576,12674.246908,0.08065321,1,14636.047675,0.05690932
DC-0391,south,112.113545,13044.447319,0.08652657,0,12970.738554,0.07643776
DC-0392,south,115.813648,14644.614492,0.07180344,1,14555.260761,0.03103752
DC-0393,north,87.81641,13795.276263,0.09173122,0,13765.314444,0.09214418
DC-0394,west,106.694496,15566.405105,0.07619986,1,15792.909885,0.07079567
DC-0395,east,118.938985,13048.361797,0.06188161,0,14461.480348,0.06755084
DC-0396,north,107.764885,12746.76751,0.0851706,1,13317.540349,0.06868489
DC-0397,south,101.848114,12585.866796,0.08885539,1,12918.180731,0.04335796
DC-0398,east,103.722148,13099.397779,0.06835573,0,13750.550968,0.05036141
DC-0399,north,131.186119,13412.157532,0.05347708,1,15227.120317,0.04460522
DC-0400,west,103.896512,12966.215014,0.08742145,0,13063.487857,0.07116789
DC-0401,north,91.327138,13779.374486,0.06493245,1,14621.520883,0.01935617
DC-0402,east,86.842139,12749.903639,0.08083962,0,12460.944711,0.07489593
DC-0403,south,78.237594,10693.664035,0.0961902,1,10877.537344,0.05055544
DC-0404,west,98.159871,12118.414087,0.08036209,0,11961.918719,0.05409309
DC-0405,south,102.775718,11613.211878,0.04764958,0,11714.300493,0.04325116
DC-0406,north,130.275633,13559.299893,0.07048573,1,13950.053354,0.03715718
DC-0407,west,108.0852,14545.473952,0.04321582,0,13498.03174,0.05190477
DC-0408,north,98.764395,12202.245843,0.08597963,1,11759.733482,0.0538394
DC-0409,south,83.404926,12255.98234,0.07759956,1,13173.453006,0.05958291
DC-0410,north,119.795396,13612.306225,0.09595374,0,13930.564601,0.07823499
DC-0411,east,116.925654,11384.21386,0.06900621,0,11765.740663,0.06404644
DC-0412,west,129.979328,14765.098094,0.04966185,1,15669.340239,0.05089322
DC-0413,south,70.281535,10179.360862,0.09366305,0,11087.742649,0.0662019
DC-0414,south,115.061373,12988.441042,0.0725267,0,14606.104983,0.04743087
DC-0415,south,84.421242,13073.287526,0.05736422,1,13539.969376,0.04095391
DC-0416,west,108.454049,12596.489656,0.08502867,0,12043.016732,0.06738489
DC-0417,south,98.427129,13562.999227,0.06374697,1,13381.709913,0.05680316
DC-0418,east,68.956161,10927.806246,0.0986189,1,12689.37304,0.0674137
DC-0419,north,88.816411,12521.967604,0.04720882,0,11621.609803,0.04141736
DC-0420,north,101.639333,11044.14436,0.08492098,1,12316.470362,0.0596048
DC-0421,east,107.936002,15624.378659,0.07488525,1,15921.657253,0.05613768
DC-0422,east,86.135238,12394.378838,0.08401689,1,14015.006668,0.05036821
DC-0423,south,95.884868,11593.30286,0.06614584,1,12086.057824,0.05764097
DC-0424,east,81.911381,13240.433813,0.07552615,0,12952.839371,0.06563662
DC-0425,west,93.056271,13204.69969,0.08264574,1,14623.26878,0.06342519
DC-0426,north,119.410143,14634.581989,0.07479071,1,15274.111923,0.03747665
DC-0427,south,88.01791,11604.412015,0.09958134,1,11936.479094,0.04479837
DC-0428,east,133.069675,14464.405241,0.06649573,0,13364.681877,0.06111329
DC-0429,east,95.656665,14105.51092,0.08013702,1,14303.756076,0.04965547
DC-0430,south,95.629227,13116.180079,0.07265269,0,13323.406935,0.0547697
DC-0431,north,112.760162,15128.985136,0.06502643,1,14018.692568,0.02392743
DC-0432,west,112.271822,12809.766279,0.06219593,1,13618.006101,0.03187886
DC-0433,east,98.998199,12588.183409,0.08595834,0,13740.141734,0.06653257
DC-0434,south,109.054816,13240.220989,0.08254451,1,14083.50261,0.0523213
DC-0435,south,99.706526,15425.538103,0.05635096,1,15183.035605,0.02176732
DC-0436,south,108.03494,14685.633282,0.06654754,1,14851.014385,0.05040294
DC-0437,north,86.467114,11248.422102,0.08591064,0,10545.863476,0.07530174
DC-0438,east,105.126236,13507.383509,0.05756597,0,14426.064985,0.03740538
DC-0439,north,117.919705,13592.898327,0.08401519,1,15366.994207,0.053773
DC-0440,east,91.118977,10259.872424,0.0936656,1,12556.028363,0.04305808
DC-0441,east,93.991112,13723.69961,0.08168641,0,13273.224884,0.06589136
DC-0442,north,111.048573,11814.036925,0.09218538,0,12470.433266,0.05199387
DC-0443,east,81.000473,13618.961161,0.05649238,1,14351.918245,0.04428608
DC-0444,north,85.142944,12200.761022,0.0961195,1,13742.452415,0.04465082
DC-0445,south,110.645082,13061.772086,0.06243701,0,12952.202575,0.05301382
DC-0446,south,106.965253,12939.43814,0.07568304,0,13401.499898,0.08001427
DC-0447,south,91.274156,11849.357307,0.07489374,0,12425.701225,0.08417626
DC-0448,north,116.48978,13183.902975,0.05760896,0,14770.377694,0.05738318
DC-0449,south,101.737291,12730.854317,0.08222493,1,14046.949012,0.03917078
DC-0450,east,109.531216,12283.849662,0.10482698,1,13693.652879,0.05516063
DC-0451,south,112.627846,12455.128331,0.06752849,1,12461.933156,0.03321635
DC-0452,north,113.306445,12995.665277,0.06230565,0,14535.123403,0.06734154
DC-0453,north,110.415175,15046.545035,0.06201871,0,15571.113943,0.05556122
DC-0454,south,88.45656,12355.442884,0.0783966,1,12526.817969,0.05614276
DC-0455,west,101.054043,12186.509533,0.07302079,1,12368.138357,0.04543361
DC-0456,east,135.068925,14228.750715,0.04722607,1,14173.671376,0.01726826
DC-0457,south,92.359725,12136.504214,0.06608832,1,13883.65089,0.04038204
DC-0458,west,101.596093,13540.346026,0.09262369,0,14222.664919,0.0719086
DC-0459,north,104.17905,15282.117656,0.07007916,1,16188.978301,0.04232812
DC-0460,south,113.175616,13076.774412,0.06637747,0,13309.501426,0.04945219
DC-0461,east,110.160789,13527.248227,0.05822963,1,15405.662088,0.03965928
DC-0462,south,91.313942,11685.062778,0.11723421,1,13124.734529,0.06179066
DC-0463,east,107.072778,12785.384577,0.06549579,1,13822.153972,0.03939888
DC-0464,east,110.988791,13083.912952,0.08127326,1,14583.377148,0.036963
DC-0465,west,120.827553,13721.939254,0.07272082,1,13683.98578,0.03920197
DC-0466,east,85.80323,12173.401515,0.07340815,1,12961.960914,0.0340165
DC-0467,south,137.289798,14622.071689,0.06540177,1,14773.798213,0.04331589
DC-0468,east,101.031956,14319.430187,0.06672591,0,14060.633804,0.0624224
DC-0469,south,82.684435,12233.011659,0.07470487,1,13184.339805,0.03425545
DC-0470,north,96.28842,13835.253346,0.11429151,1,14748.751879,0.08737843
DC-0471,north,88.828905,13280.369586,0.08074575,0,12956.426484,0.05251292
DC-0472,west,103.259557,13479.425929,0.07518776,1,15048.464328,0.04595283
DC-0473,north,97.91047,11469.418494,0.04841009,0,12211.15991,0.04800517
DC-0474,west,108.218717,13835.378584,0.06319162,1,14901.508769,0.03085066
DC-0475,east,70.488472,12953.454303,0.07057921,0,12642.516317,0.06493744
DC-0476,north,107.485272,11173.904188,0.08309644,0,12381.774788,0.07031565
DC-0477,north,99.54157,15066.572249,0.06442486,0,15196.67928,0.05936798
DC-0478,south,96.150757,10829.679406,0.07188878,1,10785.423528,0.04438976
DC-0479,north,92.246384,11250.092561,0.0843572,0,11761.047784,0.06822848
DC-0480,west,112.819968,11614.582961,0.08847907,0,11047.136273,0.07247183
DC-0481,north,98.709361,14326.677298,0.07006665,1,15940.684108,0.01509229
DC-0482,east,134.370031,16524.008177,0.06994461,0,15584.510149,0.05438375
DC-0483,east,129.444893,15226.279036,0.06145124,1,16629.191616,0.0269287
DC-0484,east,105.07711,11785.082672,0.06583966,0,12754.756791,0.05669258
DC-0485,south,110.480307,12604.36315,0.08277794,0,13542.152602,0.06812839
DC-0486,south,77.616167,11292.348602,0.09427772,0,9973.3181,0.084911
DC-0487,west,59.425966,9160.634488,0.07137999,0,10160.290125,0.05683755
DC-0488,north,97.55913,13157.071179,0.06837325,0,13155.454018,0.07123617
DC-0489,south,94.483481,11150.678482,0.04707327,1,10265.753545,0.01977056
DC-0490,north,100.830172,13411.447321,0.05779507,0,15551.754365,0.05523338
DC-0491,south,101.124419,13152.335112,0.07216143,0,13284.76015,0.06231711
DC-0492,west,128.056929,14463.246138,0.07007606,0,13595.643134,0.06600714
DC-0493,west,101.882854,14190.418684,0.08164763,1,15036.769466,0.05598038
DC-0494,north,107.894968,13528.022239,0.08381952,1,14992.650572,0.06222121
DC-0495,north,85.318843,11979.490544,0.07831022,1,14011.737297,0.04571825
DC-0496,north,108.65519,13780.593527,0.08688892,0,13147.648446,0.06557918
DC-0497,east,89.218091,11473.27312,0.08433248,1,12144.948982,0.05259943
DC-0498,west,97.013421,14318.637368,0.06709051,1,15238.677718,0.02214549
DC-0499,west,99.647814,12893.089254,0.09493608,0,13682.740143,0.08638406
DC-0500,west,103.741897,14732.392475,0.07223253,0,15139.786474,0.0620205
